日期,AQI,质量等级,PM2.5,PM10,二氧化硫,一氧化碳,二氧化氮,臭氧浓度
2020/9/18,42,优,23,22,2,0.6,33,18
2020/9/19,44,优,12,29,2,0.4,35,74
2020/9/20,59,良,21,44,3,0.5,47,95
2020/9/21,97,良,68,117,5,1,77,44
2020/9/22,137,轻度污染,104,129,7,1.1,59,113
2020/9/23,168,中度污染,127,172,3,1.2,49,182
2020/9/24,156,中度污染,119,203,4,1.1,54,174
2020/9/25,211,重度污染,161,193,4,1.5,49,96
2020/9/26,80,良,59,109,2,1.2,46,61
2020/9/27,33,优,23,29,2,0.6,24,59
2020/9/28,50,优,16,38,3,0.4,40,58
2020/9/29,75,良,53,90,5,0.7,60,95
2020/9/30,135,轻度污染,103,138,7,0.9,76,145
2020/10/1,220,重度污染,170,202,11,1.3,86,118
2020/10/2,233,重度污染,183,201,6,1.4,72,132
2020/10/3,159,中度污染,121,140,3,1.1,58,132
2020/10/4,47,优,31,44,3,1.1,37,34
2020/10/5,83,良,61,91,2,1.2,42,57
2020/10/6,95,良,71,0,4,1.6,48,11
2020/10/7,55,良,39,17,2,1.6,43,15
2020/10/8,33,优,13,29,2,0.5,26,60
2020/10/9,67,良,33,64,4,0.7,53,33
2020/10/10,122,轻度污染,92,127,10,1.2,79,31
2020/10/11,149,轻度污染,114,130,8,1.4,65,62
2020/10/12,107,轻度污染,80,102,6,1.2,64,51
2020/10/13,206,重度污染,156,189,5,1.6,75,78
2020/10/14,292,重度污染,242,258,6,2,93,73
2020/10/15,236,重度污染,186,226,4,1.9,88,4
2020/10/16,153,中度污染,117,137,3,1,58,55
2020/10/17,85,良,63,101,2,0.9,53,61
2020/10/18,160,中度污染,122,158,6,1.8,72,10
2020/10/19,278,重度污染,228,228,5,2.3,83,38
2020/10/20,115,轻度污染,87,0,6,1.4,54,27
2020/10/21,60,良,43,0,2,0.8,39,33
2020/10/22,38,优,15,25,2,0.6,30,36
2020/10/23,55,良,28,52,4,0.6,44,38
2020/10/24,87,良,64,113,3,1.2,58,4
2020/10/25,133,轻度污染,101,135,3,1.5,74,8
2020/10/26,69,良,42,88,4,0.8,50,46
2020/10/27,63,良,30,66,5,1,50,11
2020/10/28,38,优,11,29,2,0.4,30,58
2020/10/29,59,良,26,62,4,0.6,47,42
2020/10/30,66,良,44,81,5,0.8,42,54
2020/10/31,29,优,9,25,4,0.3,19,57
2020/11/1,69,良,45,74,9,0.7,55,37
2020/11/2,140,轻度污染,107,149,10,1.5,82,23
2020/11/3,243,重度污染,193,241,9,2.6,104,11
2020/11/4,292,重度污染,242,271,6,3.4,119,12
2020/11/5,230,重度污染,180,203,5,3.1,95,36
2020/11/6,95,良,71,97,10,1.2,56,40
2020/11/7,53,良,37,43,3,0.8,39,50
2020/11/8,67,良,39,71,7,0.8,53,36
2020/11/9,208,重度污染,158,194,14,2.5,86,5
2020/11/10,199,中度污染,149,178,8,1.8,70,15
2020/11/11,110,轻度污染,83,124,7,1.7,65,16
2020/11/12,100,良,75,124,10,1.5,66,28
2020/11/13,132,轻度污染,100,165,11,2.3,72,4
2020/11/14,62,良,39,73,4,0.9,35,61
2020/11/15,79,良,45,84,13,1.5,63,23
2020/11/16,132,轻度污染,100,147,16,2.2,80,21
2020/11/17,149,轻度污染,114,165,22,2.5,70,6
2020/11/18,242,重度污染,192,280,19,3.7,87,3
2020/11/19,165,中度污染,125,133,9,1.8,65,49
2020/11/20,70,良,51,0,4,1.1,41,25
2020/11/21,30,优,10,21,3,0.4,15,60
2020/11/22,28,优,8,21,4,0.4,21,55
2020/11/23,44,优,19,33,8,0.6,35,43
2020/11/24,102,轻度污染,76,107,18,1.5,70,25
2020/11/25,214,重度污染,164,205,24,2.6,97,8
2020/11/26,315,严重污染,265,361,22,3.5,117,13
2020/11/27,68,良,49,80,7,0.9,45,58
2020/11/28,97,良,63,101,18,1.7,77,16
2020/11/29,129,轻度污染,98,146,26,2.6,81,4
2020/11/30,117,轻度污染,88,128,15,2.1,67,53
2020/12/1,60,良,33,56,9,0.8,48,57
2020/12/2,129,轻度污染,98,131,19,2.1,85,17
2020/12/3,259,重度污染,209,272,24,3.4,113,10
2020/12/4,302,严重污染,252,284,18,3.6,104,17
2020/12/5,60,良,43,50,8,1,43,61
2020/12/6,112,轻度污染,84,128,21,2.3,92,11
2020/12/7,170,中度污染,129,169,23,2.7,100,15
2020/12/8,114,轻度污染,86,119,11,1.7,53,66
2020/12/9,54,良,25,45,9,0.8,43,48
2020/12/10,80,良,49,74,14,1.4,64,24
2020/12/11,219,重度污染,169,204,35,3.5,101,8
2020/12/12,271,重度污染,221,240,39,3,103,15
2020/12/13,68,良,49,32,9,1.2,50,43
2020/12/14,58,良,28,51,11,0.8,46,43
2020/12/15,54,良,27,53,10,0.9,43,59
2020/12/16,149,轻度污染,114,149,22,2.2,92,14
2020/12/17,246,重度污染,196,224,32,3.3,104,11
2020/12/18,271,重度污染,221,239,25,3.5,102,14
2020/12/19,273,重度污染,223,253,22,4.1,111,14
2020/12/20,418,严重污染,376,415,8,8,135,6
2020/12/21,431,严重污染,396,415,12,8,155,9
2020/12/22,79,良,58,57,6,1.3,35,59
2020/12/23,62,良,34,65,9,0.8,49,39
2020/12/24,160,中度污染,122,152,26,2.7,90,10
2020/12/25,195,中度污染,146,168,30,2.8,96,5
2020/12/26,59,良,41,45,15,0.9,47,50
2020/12/27,59,良,42,63,9,0.9,45,51
2020/12/28,87,良,64,64,10,1.1,42,45
2020/12/29,88,良,65,94,12,1.1,53,31
2020/12/30,262,重度污染,212,255,19,3.3,100,8
2020/12/31,351,严重污染,301,356,21,4.6,129,8
2021/1/1,470,严重污染,454,512,8,6.8,141,6
2021/1/2,248,重度污染,198,190,13,3.8,102,38
2021/1/3,348,严重污染,311,339,17,6,153,17
2021/1/4,389,严重污染,364,389,19,7.5,153,13
2021/1/5,270,重度污染,223,222,16,5.3,115,11
2021/1/6,248,重度污染,199,183,23,4.3,110,14
2021/1/7,220,重度污染,167,128,18,3.3,83,11
2021/1/8,50,优,34,20,10,1,34,54
2021/1/9,50,优,36,43,7,0.8,40,47
2021/1/10,42,优,25,39,8,0.7,36,61
2021/1/11,95,良,58,79,19,1.7,75,19
2021/1/12,63,良,41,59,12,1,50,46
2021/1/13,34,优,8,21,6,0.4,23,69
2021/1/14,56,良,20,39,11,0.9,45,52
2021/1/15,71,良,53,70,11,1,50,31
2021/1/16,121,轻度污染,96,108,19,1.8,68,8
2021/1/17,180,中度污染,137,142,21,2.2,75,21
2021/1/18,62,良,38,51,11,0.9,52,39
2021/1/19,70,良,45,86,14,1.2,37,63
2021/1/20,43,优,25,37,9,0.8,36,57
2021/1/21,49,优,24,46,9,0.8,29,72
2021/1/22,52,良,26,36,12,0.9,42,49
2021/1/23,58,良,36,46,14,1,50,44
2021/1/24,114,轻度污染,90,101,29,2.1,77,29
2021/1/25,224,重度污染,178,177,39,3.3,95,30
2021/1/26,209,重度污染,155,164,26,2.7,62,70
2021/1/27,87,良,78,111,24,0.8,31,77
2021/1/28,398,严重污染,345,426,84,2.7,71,26
2021/1/29,56,良,30,65,8,0.7,15,68
2021/1/30,40,优,29,35,11,0.6,22,72
2021/1/31,104,轻度污染,77,84,27,1.3,43,57
2021/2/1,51,良,38,57,16,0.6,29,62
2021/2/2,103,轻度污染,83,98,30,1.6,63,50
2021/2/3,210,重度污染,166,179,45,2.7,87,49
2021/2/4,305,严重污染,245,240,48,3.4,94,52
2021/2/5,43,优,12,14,7,0.5,25,86
2021/2/6,36,优,15,26,8,0.5,31,68
2021/2/7,103,轻度污染,80,93,21,1.6,62,40
2021/2/8,49,优,30,44,7,0.8,25,76
2021/2/9,38,优,7,20,3,0.3,12,76
2021/2/10,42,优,7,23,3,0.4,17,85
2021/2/11,65,良,53,80,21,1,49,77
2021/2/12,137,轻度污染,107,139,42,2.4,81,43
2021/2/13,108,轻度污染,85,107,25,2.1,70,70
2021/2/14,230,重度污染,185,188,32,2.9,101,20
2021/2/15,281,重度污染,243,220,38,3.2,112,49
2021/2/16,135,轻度污染,100,95,18,1.4,53,66
2021/2/17,41,优,24,41,8,0.6,32,80
2021/2/18,113,轻度污染,88,124,27,1.7,77,52
2021/2/19,128,轻度污染,94,139,23,1.5,59,83
2021/2/20,36,优,13,34,5,0.5,27,72
2021/2/21,82,良,62,74,15,1.3,59,31
2021/2/22,103,轻度污染,76,64,7,1.1,40,68
2021/2/23,41,优,19,30,7,0.6,36,78
2021/2/24,57,良,25,37,9,0.8,47,76
2021/2/25,43,优,11,22,6,0.5,32,86
2021/2/26,66,良,29,47,10,0.8,54,72
2021/2/27,97,良,67,96,17,1.5,80,54
2021/2/28,43,优,14,28,6,0.6,34,87
2021/3/1,47,优,8,37,3,0.4,13,94
2021/3/2,67,良,40,80,13,0.9,54,70
2021/3/3,111,轻度污染,82,138,23,1.5,68,60
2021/3/4,113,轻度污染,87,108,26,1.7,74,82
2021/3/5,42,优,12,30,4,0.4,19,84
2021/3/6,45,优,17,43,6,0.7,34,81
2021/3/7,40,优,7,23,3,0.4,15,80
2021/3/8,45,优,10,30,3,0.5,24,90
2021/3/9,46,优,13,35,4,0.5,39,83
2021/3/10,77,良,34,65,12,0.9,64,88
2021/3/11,65,良,44,80,15,0.9,48,89
2021/3/12,44,优,7,27,3,0.3,13,88
